,motorSpeed
-1714.739283,-112
-1740.412464,-98
-1740.412464,-88
-1740.412464,-65
-1740.412464,-54
-1740.412464,-34
-1740.412464,-21
-1740.412464,-23
-1740.412464,-42
-1740.412464,-37
-1740.412464,-35
-1740.412464,-51
-1740.412464,-61
-1740.412464,-64
-1740.412464,-64
-1740.412464,-69
-1740.412464,-104
-1539.29609,-139
-2489.278225,-172
-3542.978751,-200
-4548.881363,-213
-5049.203899,-257
-6892.18755,86
-6892.18755,-40
-6892.18755,-138
-2459.674068,80
-2459.674068,22
-2459.674068,29
-2459.674068,-34
-2459.674068,6
-2459.674068,-38
-2459.674068,0
-2459.674068,-58
-2459.674068,-27
-2459.674068,21
-2459.674068,-42
-2459.674068,22
-2459.674068,-18
-2459.674068,-18
-2459.674068,8
-2459.674068,-51
-2459.674068,19
-2459.674068,-18
-2459.674068,-4
-2459.674068,-11
-2459.674068,-14
-2459.674068,19
-2459.674068,-45
-2459.674068,16
-2459.674068,-30
-2459.674068,-41
-2459.674068,16
-2459.674068,-44
-2459.674068,-14
-2459.674068,-20
-2459.674068,-10
-2459.674068,-44
-2459.674068,-14
-2459.674068,3
-2459.674068,9
-2459.674068,-18
-2459.674068,-20
-2459.674068,3
-2459.674068,0
-2459.674068,-54
-2459.674068,-37
-2459.674068,-30
-2459.674068,3
-2459.674068,5
-2459.674068,-23
-2459.674068,-48
-2459.674068,-20
-2459.674068,-15
-2459.674068,-31
-2459.674068,-30
-2459.674068,-45
-2459.674068,-52
-2459.674068,38
-2459.674068,-4
-2459.674068,-50
-2459.674068,-42
-2459.674068,8
-2459.674068,12
-2459.674068,-30
-2459.674068,-44
-2459.674068,9
-2459.674068,0
-2459.674068,-31
-2459.674068,0
-2459.674068,-32
-2459.674068,1
-2459.674068,-17
-2459.674068,-11
-2459.674068,-13
-2459.674068,-14
-2459.674068,-3
-2459.674068,3
-2459.674068,-8
-2459.674068,-7
-2459.674068,-17
-2459.674068,-20
-2459.674068,-8
-2459.674068,-27
-2459.674068,-1
-2459.674068,12
-2459.674068,-24
-2459.674068,-68
-2459.674068,-27
-2459.674068,-34
-2459.674068,5
-2459.674068,43
-2459.674068,84
-2459.674068,96
-2459.674068,119
2749.040906,127
3061.982126,144
3770.56587,157
4351.165523,156
4305.338871,156
4305.338871,144
3770.56587,150
4034.438485,148
3945.695299,138
3513.820157,120
2787.425134,96
2787.425134,100
2787.425134,92
2787.425134,84
2787.425134,52
2787.425134,32
2787.425134,1
2787.425134,-10
2787.425134,-38
2787.425134,-57
2787.425134,-48
2787.425134,-65
2787.425134,-67
2787.425134,-62
2787.425134,-68
2787.425134,-59
2787.425134,-51
2787.425134,-51
2787.425134,-64
2787.425134,-14
2787.425134,1
2787.425134,21
2787.425134,46
2787.425134,67
2787.425134,26
2787.425134,32
2787.425134,29
2787.425134,19
2787.425134,-13
2787.425134,-37
2787.425134,-34
2787.425134,-23
2787.425134,-11
2787.425134,-10
2787.425134,-13
2787.425134,-18
2787.425134,-23
2787.425134,-27
2787.425134,-20
2787.425134,-13
2787.425134,-7
2787.425134,-8
2787.425134,0
2787.425134,-15
2787.425134,-13
2787.425134,-20
2787.425134,-13
2787.425134,-15
2787.425134,-24
2787.425134,-13
2787.425134,-3
2787.425134,-10
2787.425134,-7
2787.425134,1
2787.425134,0
2787.425134,-13
2787.425134,-13
2787.425134,-18
2787.425134,1
2787.425134,-5
2787.425134,0
2787.425134,-7
2787.425134,-27
2787.425134,-10
2787.425134,-10
2787.425134,-25
2787.425134,-18
2787.425134,-20
2787.425134,-28
2787.425134,-7
2787.425134,-7
2787.425134,-18
2787.425134,-18
2787.425134,-5
2787.425134,-8
2787.425134,-11
2787.425134,-14
2787.425134,-21
2787.425134,-15
2787.425134,-8
2787.425134,-11
2787.425134,-17
2787.425134,-14
2787.425134,-11
2787.425134,-8
2787.425134,-10
2787.425134,-18
2787.425134,-18
2787.425134,-13
2787.425134,-4
2787.425134,-7
2787.425134,-4
2787.425134,-13
2787.425134,-11
2787.425134,-7
2787.425134,-10
2787.425134,1
2787.425134,1
2787.425134,1
2787.425134,1
2787.425134,-4
2787.425134,-15
2787.425134,-15
2787.425134,-15
2787.425134,-13
2787.425134,-5
2787.425134,-27
2787.425134,-27
2787.425134,-28
2787.425134,-1
2787.425134,-7
2787.425134,-7
2787.425134,-18
2787.425134,-1
2787.425134,2
2787.425134,-11
2787.425134,-8
2787.425134,-18
2787.425134,5
2787.425134,11
2787.425134,5
2787.425134,-13
2787.425134,-14
2787.425134,-15
2787.425134,-21
2787.425134,-20
2787.425134,-13
2787.425134,-17
2787.425134,-21
2787.425134,-32
2787.425134,-30
2787.425134,-10
2787.425134,-4
2787.425134,-8
2787.425134,-1
2787.425134,1
2787.425134,-5
2787.425134,3
2787.425134,-1
2787.425134,-1
2787.425134,-18
2787.425134,-3
2787.425134,0
2787.425134,9
2787.425134,-35
2787.425134,-35
2787.425134,-23
2787.425134,-28
2787.425134,2
2787.425134,38
2787.425134,32
2787.425134,86
2787.425134,113
2523.195313,190
5968.903984,296
12443.14697,316
13866.9631,170
4964.251109,-17
4964.251109,1
4964.251109,42
4964.251109,276
11081.18528,389
19567.9959,161
4536.38971,-78
4536.38971,79
4536.38971,-59
4536.38971,-8
4536.38971,13
4536.38971,-37
4536.38971,-31
4536.38971,15
4536.38971,63
4536.38971,-74
4536.38971,-50
4536.38971,28
4536.38971,38
4536.38971,-23
4536.38971,96
4536.38971,2
4536.38971,-98
4536.38971,13
4536.38971,-86
4536.38971,12
4536.38971,-59
4536.38971,15
4536.38971,-92
4536.38971,-8
4536.38971,89
4536.38971,-135
-2371.70665,62
-2371.70665,-105
-1563.898602,12
-1563.898602,56
-1563.898602,-159
-3110.376399,-1
-3110.376399,50
-3110.376399,-81
-3110.376399,23
-3110.376399,43
-3110.376399,-75
-3110.376399,-98
-3110.376399,82
-3110.376399,-92
-3110.376399,-45
-3110.376399,65
-3110.376399,48
-3110.376399,-75
-3110.376399,56
-3110.376399,11
-3110.376399,-77
-3110.376399,11
-3110.376399,65
-3110.376399,-47
-3110.376399,-18
-3110.376399,103
2164.069339,-129
-2199.606872,131
3223.431323,-20
3223.431323,99
3223.431323,-88
3223.431323,-126
-2115.494554,120
2787.425134,-24
2787.425134,144
3770.56587,-176
-3680.547281,143
3727.277236,-64
3727.277236,86
3727.277236,62
3727.277236,-153
-2918.311286,131
3223.431323,-48
3223.431323,147
3901.617638,-54
3901.617638,28
3901.617638,83
3901.617638,-69
3901.617638,-38
3901.617638,28
3901.617638,42
3901.617638,22
3901.617638,-20
3901.617638,-122
-2005.377596,-185
-3997.619578,-243
-6281.270526,-244
-6324.159944,-224
-5488.565751,-209
-4893.057311,-194
-4324.99266,-186
-4033.488823,-182
-3890.775743,-186
-4033.488823,-192
-4251.36159,-182
-3890.775743,-156
-3013.737159,-153
-2918.311286,-145
-2669.836677,-136
-2400.887927,-92
-2400.887927,-77
-2400.887927,-69
-2400.887927,-64
-2400.887927,-54
-2400.887927,-52
-2400.887927,-52
-2400.887927,-51
-2400.887927,-58
-2400.887927,-37
-2400.887927,-30
-2400.887927,-27
-2400.887927,-13
-2400.887927,-17
-2400.887927,11
-2400.887927,43
-2400.887927,45
-2400.887927,39
-2400.887927,49
-2400.887927,43
-2400.887927,38
-2400.887927,38
-2400.887927,21
-2400.887927,33
-2400.887927,32
-2400.887927,38
-2400.887927,38
-2400.887927,28
-2400.887927,25
-2400.887927,18
-2400.887927,18
-2400.887927,16
-2400.887927,11
-2400.887927,21
-2400.887927,35
-2400.887927,43
-2400.887927,46
-2400.887927,43
-2400.887927,42
-2400.887927,23
-2400.887927,18
-2400.887927,15
-2400.887927,18
-2400.887927,13
-2400.887927,13
-2400.887927,18
-2400.887927,18
-2400.887927,5
-2400.887927,6
-2400.887927,9
-2400.887927,2
-2400.887927,11
-2400.887927,-1
-2400.887927,-10
-2400.887927,-1
-2400.887927,-8
-2400.887927,-20
-2400.887927,-28
-2400.887927,-32
-2400.887927,-38
-2400.887927,-50
-2400.887927,-42
-2400.887927,-44
-2400.887927,-52
-2400.887927,-44
-2400.887927,-40
-2400.887927,-41
-2400.887927,-40
-2400.887927,-31
-2400.887927,-35
-2400.887927,-25
-2400.887927,-28
-2400.887927,-34
-2400.887927,-27
-2400.887927,-23
-2400.887927,-13
-2400.887927,-11
-2400.887927,-11
-2400.887927,-4
-2400.887927,-3
-2400.887927,-4
-2400.887927,-1
-2400.887927,-1
-2400.887927,0
-2400.887927,11
-2400.887927,21
-2400.887927,13
-2400.887927,8
-2400.887927,22
-2400.887927,21
-2400.887927,18
-2400.887927,21
-2400.887927,23
-2400.887927,22
-2400.887927,19
-2400.887927,12
-2400.887927,0
-2400.887927,2
-2400.887927,3
-2400.887927,3
-2400.887927,16
-2400.887927,16
-2400.887927,22
-2400.887927,22
-2400.887927,13
-2400.887927,11
-2400.887927,-3
-2400.887927,-1
-2400.887927,-3
-2400.887927,-8
-2400.887927,-15
-2400.887927,-15
-2400.887927,-11
-2400.887927,-21
-2400.887927,-20
-2400.887927,-25
-2400.887927,-30
-2400.887927,-31
-2400.887927,-25
-2400.887927,-28
-2400.887927,-24
-2400.887927,-28
-2400.887927,-23
-2400.887927,-18
-2400.887927,-21
-2400.887927,-23
-2400.887927,-27
-2400.887927,-28
-2400.887927,-38
-2400.887927,-34
-2400.887927,-28
-2400.887927,-25
-2400.887927,-27
-2400.887927,-23
-2400.887927,-17
-2400.887927,-15
-2400.887927,-14
-2400.887927,-13
-2400.887927,-25
-2400.887927,-15
-2400.887927,-18
-2400.887927,-18
-2400.887927,-21
-2400.887927,-11
-2400.887927,-10
-2400.887927,5
-2400.887927,0
-2400.887927,2
-2400.887927,2
-2400.887927,1
-2400.887927,-3
-2400.887927,-4
-2400.887927,-21
-2400.887927,-21
-2400.887927,-14
-2400.887927,-13
-2400.887927,-14
-2400.887927,-11
-2400.887927,1
-2400.887927,5
-2400.887927,15
-2400.887927,22
-2400.887927,23
-2400.887927,30
-2400.887927,42
-2400.887927,57
-2400.887927,76
-2400.887927,96
-2400.887927,107
2305.094897,147
3901.617638,158
4397.18435,177
5307.519276,195
6231.422908,217
7438.984469,241
8851.199103,244
9034.514359,256
9782.58188,258
9909.545172,227
8015.57565,205
6769.802862,170
4964.251109,156
4305.338871,156
4305.338871,154
4214.263779,134
3346.667261,141
3641.295738,119
2749.040906,126
3022.135129,130
3182.760942,137
3471.729371,126
3022.135129,116
2635.158704,92
2635.158704,83
2635.158704,83
2635.158704,80
2635.158704,86
2635.158704,82
2635.158704,72
2635.158704,92
2635.158704,80
2635.158704,84
2635.158704,83
2635.158704,73
2635.158704,59
2635.158704,32
2635.158704,21
2635.158704,5
2635.158704,-31
2635.158704,-48
2635.158704,-61
2635.158704,-54
2635.158704,-58
2635.158704,-58
2635.158704,-41
2635.158704,-30
2635.158704,-37
2635.158704,-21
2635.158704,-1
2635.158704,13
2635.158704,56
2635.158704,66
2635.158704,66
2635.158704,70
2635.158704,80
2635.158704,89
2635.158704,104
2198.994452,100
2198.994452,90
2198.994452,93
2198.994452,72
2198.994452,53
2198.994452,45
2198.994452,36
2198.994452,35
2198.994452,21
2198.994452,28
2198.994452,13
2198.994452,11
2198.994452,-1
2198.994452,-1
2198.994452,-7
2198.994452,-17
2198.994452,-20
2198.994452,-21
2198.994452,-21
2198.994452,-27
2198.994452,-21
2198.994452,-18
2198.994452,-23
2198.994452,-24
2198.994452,-10
2198.994452,-10
2198.994452,-5
2198.994452,-17
2198.994452,-11
2198.994452,-24
2198.994452,-32
2198.994452,-10
2198.994452,-10
2198.994452,2
2198.994452,3
2198.994452,5
2198.994452,-1
2198.994452,1
2198.994452,-4
2198.994452,-3
2198.994452,-1
2198.994452,1
2198.994452,0
2198.994452,0
2198.994452,-15
2198.994452,-21
2198.994452,-28
2198.994452,-28
2198.994452,-23
2198.994452,-23
2198.994452,-18
2198.994452,-48
2198.994452,-68
2198.994452,-74
2198.994452,-67
2198.994452,-72
2198.994452,-95
2198.994452,-98
2198.994452,-111
-1714.739283,-115
-1818.336439,-132
-2285.014295,-167
-3373.953591,-247
-6453.521394,-312
-9504.123243,-369
-12550.4871,-430
-16171.6793,-440
-16799.60126,-437
-16610.22939,-416
-15308.60224,-379
-13119.07042,-320
-9911.318,-267
-7342.214376,-224
-5488.565751,-187
-4069.484992,-138
-2459.674068,-113
-1766.236689,-135
-2371.70665,-136
-2400.887927,-140
-2519.022642,-152
-2886.773695,-150
-2824.106891,-139
-2489.278225,-119
-1924.328601,-84
-1924.328601,-59
-1924.328601,-50
-1924.328601,-21
-1924.328601,2
-1924.328601,18
-1924.328601,18
-1924.328601,29
-1924.328601,25
-1924.328601,26
-1924.328601,12
-1924.328601,21
-1924.328601,9
-1924.328601,6
-1924.328601,2
-1924.328601,1
-1924.328601,1
-1924.328601,-10
-1924.328601,-7
-1924.328601,-5
-1924.328601,-4
-1924.328601,-1
-1924.328601,-5
-1924.328601,0
-1924.328601,1
-1924.328601,13
-1924.328601,15
-1924.328601,22
-1924.328601,33
-1924.328601,48
-1924.328601,66
-1924.328601,72
-1924.328601,90
-1924.328601,107
2305.094897,141
3641.295738,161
4536.38971,170
4964.251109,178
5357.298207,151
4079.103108,143
3727.277236,116
2635.158704,121
2826.020093,109
2376.925645,123
2903.839818,133
3305.385013,175
5208.515066,210
7045.588024,217
7438.984469,224
7840.808349,237
8609.102533,246
9157.550926,259
9973.27003,275
11014.73723,291
12096.80135,299
12652.81111,295
12373.56791,275
11014.73723,261
10101.2051,231
8250.968369,234
8429.281294,232
8310.238009,232
8310.238009,218
7495.874086,205
6769.802862,194
6178.561048,167
4819.933783,150
4034.438485,136
3429.839955,121
2826.020093,114
2560.302185,110
2413.168059,86
2413.168059,90
2413.168059,80
2413.168059,92
2413.168059,94
2413.168059,79
2413.168059,83
2413.168059,89
2413.168059,99
2413.168059,86
2413.168059,92
2413.168059,83
2413.168059,75
2413.168059,63
2413.168059,53
2413.168059,50
2413.168059,45
2413.168059,19
2413.168059,22
2413.168059,16
2413.168059,12
2413.168059,8
2413.168059,-4
2413.168059,-14
2413.168059,-27
2413.168059,-44
2413.168059,-52
2413.168059,-69
2413.168059,-52
2413.168059,-68
2413.168059,-40
2413.168059,-34
2413.168059,-28
2413.168059,-10
2413.168059,-14
2413.168059,-20
2413.168059,-13
2413.168059,-17
2413.168059,-5
2413.168059,-3
2413.168059,0
2413.168059,2
2413.168059,1
2413.168059,0
2413.168059,-27
2413.168059,-20
2413.168059,-27
2413.168059,-40
2413.168059,-37
2413.168059,-32
2413.168059,-31
2413.168059,-35
2413.168059,-34
2413.168059,-38
2413.168059,-41
2413.168059,-45
2413.168059,-32
2413.168059,-32
2413.168059,-32
2413.168059,-27
2413.168059,-30
2413.168059,-30
2413.168059,-28
2413.168059,-25
2413.168059,-21
2413.168059,-27
2413.168059,-14
